Date,High,Low,Open,Close,Volume,Adj Close,direction,prevclose
18-04-2012,32.75,31.53000069,32.09000015,32.65999985,823100,32.65999985,Up,32.24000168
19-04-2012,33.43000031,32.5,32.75,33.15999985,774900,33.15999985,Up,32.65999985
25-04-2012,32.99000168,32.06999969,32.06999969,32.90999985,712200,32.90999985,Up,31.81999969
26-04-2012,33.52000046,32.90999985,32.95999908,33.49000168,425300,33.49000168,Up,32.90999985
01-05-2012,34.20999908,33.13000107,33.13000107,33.77999878,659000,33.77999878,Up,33.13000107
02-05-2012,34.38999939,33.38999939,33.5,33.93999863,497300,33.93999863,Up,33.77999878
07-05-2012,32.58000183,31.61000061,31.95999908,32.47000122,1158000,32.47000122,Up,31.82999992
10-05-2012,34.68000031,32.40000153,32.97000122,32.95999908,5556300,32.95999908,Up,30.05999947
21-05-2012,29.26000023,27.12000084,27.57999992,28.77000046,1475200,28.77000046,Up,27.55999947
22-05-2012,31.34000015,30,30.10000038,30.79999924,2366200,30.79999924,Up,28.77000046
23-05-2012,31.04999924,29.5,30.55999947,31.02000046,1220400,31.02000046,Up,30.79999924
29-05-2012,31.93000031,30.01000023,30.01000023,31.69000053,1650000,31.69000053,Up,29.80999947
05-06-2012,28.38999939,27.55999947,27.84000015,27.90999985,630900,27.90999985,Up,27.87999916
06-06-2012,29.45000076,28.13999939,28.20000076,29.21999931,909900,29.21999931,Up,27.90999985
08-06-2012,30.19000053,28.14999962,28.86000061,30.07999992,881100,30.07999992,Up,28.93000031
12-06-2012,29.84000015,28.80999947,29.22999954,29.65999985,569000,29.65999985,Up,29.12000084
13-06-2012,30.63999939,29.46999931,29.54999924,29.77000046,844100,29.77000046,Up,29.65999985
15-06-2012,29.95000076,28.80999947,29.38999939,29.90999985,646800,29.90999985,Up,29.38999939
18-06-2012,32.33000183,29.5,29.94000053,31.84000015,1256800,31.84000015,Up,29.90999985
19-06-2012,32.65999985,31.5,32.02000046,32.09000015,911100,32.09000015,Up,31.84000015
20-06-2012,34.5,33.20999908,33.5,33.77999878,3422400,33.77999878,Up,32.09000015
22-06-2012,33.97999954,32.45999908,32.59999847,33.79000092,3046600,33.79000092,Up,32.18999863
27-06-2012,32.45000076,31.56999969,31.89999962,31.95999908,1047200,31.95999908,Up,31.61000061
03-07-2012,31,30.39999962,30.60000038,30.65999985,947000,30.65999985,Up,30.39999962
05-07-2012,31.67000008,30.79999924,30.80999947,31.22999954,1253800,31.22999954,Up,30.65999985
09-07-2012,31.82999992,30.67000008,30.94000053,31.48999977,910500,31.48999977,Up,30.98999977
11-07-2012,31.68000031,31.01000023,31.56999969,31.51000023,638600,31.51000023,Up,31.27000046
12-07-2012,33.00999832,30.79999924,31.29000092,32.70000076,1125700,32.70000076,Up,31.51000023
13-07-2012,34.40000153,32.83000183,32.97000122,34.25,1304800,34.25,Up,32.70000076
16-07-2012,36,33.90000153,34.31999969,35.95999908,1744000,35.95999908,Up,34.25
19-07-2012,33.15000153,32.04000092,32.72000122,32.27000046,1435900,32.27000046,Up,32.15000153
27-07-2012,29.65999985,28.10000038,28.70999908,29.51000023,1673000,29.51000023,Up,28.12999916
31-07-2012,27.96999931,27.35000038,27.54000092,27.42000008,1575100,27.42000008,Up,27.35000038
03-08-2012,27.54999924,26.73999977,26.89999962,27.27000046,1209500,27.27000046,Up,26.10000038
06-08-2012,28.70000076,27.54999924,27.54999924,28.27000046,1528200,28.27000046,Up,27.27000046
07-08-2012,30.89999962,28.5,28.77000046,30.25,2387200,30.25,Up,28.27000046
09-08-2012,30,29.12999916,29.52000046,29.40999985,672600,29.40999985,Up,29.09000015
10-08-2012,29.94000053,29.30999947,29.30999947,29.94000053,707400,29.94000053,Up,29.40999985
13-08-2012,31.29999924,29.10000038,29.69000053,31.17000008,870100,31.17000008,Up,29.94000053
16-08-2012,30.38999939,29.5,29.53000069,30.29999924,669000,30.29999924,Up,29.39999962
22-08-2012,30.04000092,29.01000023,29.01000023,29.95000076,775500,29.95000076,Up,29.11000061
23-08-2012,30.85000038,29.64999962,30,30.72999954,1471000,30.72999954,Up,29.95000076
28-08-2012,29.37999916,28,28.39999962,28.69000053,1402700,28.69000053,Up,28.31999969
31-08-2012,28.84000015,28.20000076,28.61000061,28.52000046,539800,28.52000046,Up,28.40999985
06-09-2012,28.89999962,27.89999962,28,28.54999924,841700,28.54999924,Up,27.94000053
07-09-2012,29.56999969,28.5,28.54999924,29.35000038,953200,29.35000038,Up,28.54999924
11-09-2012,28.15999985,27.39999962,27.76000023,27.79999924,1014900,27.79999924,Up,27.37000084
12-09-2012,28.57999992,27.79999924,27.89999962,28.28000069,1145200,28.28000069,Up,27.79999924
13-09-2012,29.5,28.47999954,28.56999969,29.47999954,1484700,29.47999954,Up,28.28000069
14-09-2012,30.64999962,29.64999962,30,30.38999939,1536600,30.38999939,Up,29.47999954
17-09-2012,32.77999878,31.51000023,32.34999847,32.54000092,3212800,32.54000092,Up,30.38999939
24-09-2012,31.03000069,29.39999962,29.51000023,30.65999985,1301900,30.65999985,Up,30.02000046
27-09-2012,28.54000092,27.60000038,27.81999969,28.48999977,1758600,28.48999977,Up,27.54000092
28-09-2012,29.88999939,28.61000061,28.72999954,29.28000069,4343400,29.28000069,Up,28.48999977
02-10-2012,29.88999939,29,29.28000069,29.79999924,729000,29.79999924,Up,29.15999985
04-10-2012,30.10000038,28.64999962,30,29.39999962,1541300,29.39999962,Up,29.29999924
08-10-2012,29.39999962,28.61000061,28.86000061,29.25,889700,29.25,Up,28.88999939
10-10-2012,28.71999931,28.01000023,28.38999939,28.39999962,503600,28.39999962,Up,28.37000084
16-10-2012,28.09000015,27.34000015,27.67000008,28.05999947,479300,28.05999947,Up,27.32999992
17-10-2012,28.84000015,27.79999924,28.25,28.81999969,668000,28.81999969,Up,28.05999947
22-10-2012,28,27.36000061,27.98999977,27.85000038,470200,27.85000038,Up,27.73999977
23-10-2012,28.55999947,27.37000084,27.37999916,28.38999939,749000,28.38999939,Up,27.85000038
25-10-2012,27.79999924,27.45000076,27.79999924,27.52000046,577700,27.52000046,Up,27.42000008
31-10-2012,28.35000038,27.37000084,27.70000076,28.12999916,775200,28.12999916,Up,27.37999916
01-11-2012,29.48999977,28.20000076,28.25,29.25,1024100,29.25,Up,28.12999916
05-11-2012,31.57999992,29.32999992,29.79999924,31.5,2048900,31.5,Up,28.92000008
07-11-2012,32.04999924,30.80999947,31,31.54000092,1714500,31.54000092,Up,31.14999962
12-11-2012,31.42000008,30.15999985,30.29000092,31.06999969,555900,31.06999969,Up,30.31999969
13-11-2012,32,30.71999931,31.29000092,31.61000061,998300,31.61000061,Up,31.06999969
16-11-2012,32,30.59000015,31.14999962,31.84000015,908700,31.84000015,Up,30.81999969
19-11-2012,33.25,31.84000015,32.06999969,32.91999817,1392400,32.91999817,Up,31.84000015
20-11-2012,33.09999847,31.90999985,32.79999924,33,922500,33,Up,32.91999817
26-11-2012,32.29999924,31.62000084,32.09999847,32.27000046,495800,32.27000046,Up,32.13000107
28-11-2012,34.29000092,31.90999985,32,33.22999954,1525200,33.22999954,Up,32.15000153
29-11-2012,34,32.86999893,33.43999863,33.68999863,1103400,33.68999863,Up,33.22999954
30-11-2012,34.27999878,33.00999832,33.63000107,33.81999969,1420300,33.81999969,Up,33.68999863
03-12-2012,35,33.5,33.88999939,34.61999893,2085700,34.61999893,Up,33.81999969
06-12-2012,34.79999924,33.5,33.81999969,33.90000153,660400,33.90000153,Up,33.70999908
07-12-2012,34.49000168,33.84999847,34.29999924,34.16999817,664400,34.16999817,Up,33.90000153
